"1111","10 Surrey Lane","East Brunswick","NJ","7852","123-123-1234"
"2222","8 Fountain Avenue","Freehold","NJ","7728","234234-2345"
"2565","468 Apple Court","Summit","NJ","7092","102-102-1023"
"3333","8 Cape Court","Newark","NJ","7102","345-345-3456"
"4444","205 Cherry Blossom Lane","Livingston","NJ","7039","456-456-4567"
"5555","8 Dogwood Blvd","Metuchen","NJ","8840","567-567-5678"
"6666","1313 Mockingbird Lane","Westfield","NJ","7091","678-678-6789"
"7777","520 Locke Street","Maplewood","NJ","7040","789-789-7890"
"8888","4 Peyton Place","South Orange","NJ","7079","890-890-8901"
"9999","842 Knobs Hill","Road Old Bridge","NJ","7735","901-901-9012"
