"Sarah","Sink","SS00?","1012","000-000-0000","sarah@ppp.com"
"Paul","Pipe","PP11@","1234","111-111-1111","paul@ppp.com"
"Wendy","Wrench","WW22!","2345","222-222-2222","wendy@ppp.com"
"Steven","Screw","SS33*","3456","333-333-3333","steven@ppp.com"
"Barbra","Bolt","BB44&","4567","444-444-4444","barbra@ppp.com"
"Ned","Nuts","NN55#","5678","555-555-5555","ned@ppp.com"
"Therese","Tap","TT66%","6789","666-666-6666","therese@ppp.com"
"Fred","Faucet","FF77^","7890","777-777-7777","fred@ppp.com"
"Dotty","Drain","DD88$","8901","888-888-8888","dotty@ppp.com"
"Gary","Gasket","GG99~","9012","999-999-9999","gary@ppp.com"
